PING theworldsworstwebsiteever.com (162.241.131.251) 56(84) bytes of data.
64 bytes from 162.241.131.251: icmp_seq=88 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=89 ttl=40 time=124 ms
64 bytes from 162.241.131.251: icmp_seq=90 ttl=40 time=124 ms
64 bytes from 162.241.131.251: icmp_seq=91 ttl=40 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=92 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=93 ttl=40 time=126 ms
64 bytes from 162.241.131.251: icmp_seq=94 ttl=40 time=128 ms
64 bytes from 162.241.131.251: icmp_seq=95 ttl=40 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=96 ttl=40 time=126 ms
64 bytes from 162.241.131.251: icmp_seq=97 ttl=40 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=98 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=99 ttl=40 time=126 ms
64 bytes from 162.241.131.251: icmp_seq=100 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=101 ttl=40 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=102 ttl=40 time=128 ms
64 bytes from 162.241.131.251: icmp_seq=103 ttl=40 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=104 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=105 ttl=40 time=126 ms
64 bytes from 162.241.131.251: icmp_seq=106 ttl=40 time=127 ms
64 bytes from 162.241.131.251: icmp_seq=107 ttl=40 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=108 ttl=40 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=109 ttl=40 time=128 ms
64 bytes from 162.241.131.251: icmp_seq=110 ttl=40 time=127 ms
64 bytes from 162.241.131.251: icmp_seq=111 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=112 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=113 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=114 ttl=40 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=115 ttl=40 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=116 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=117 ttl=40 time=126 ms
64 bytes from 162.241.131.251: icmp_seq=118 ttl=40 time=124 ms
64 bytes from 162.241.131.251: icmp_seq=119 ttl=40 time=125 ms
64 bytes from 162.241.131.251: icmp_seq=120 ttl=40 time=132 ms

--- theworldsworstwebsiteever.com ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119153ms
rtt min/avg/max/mdev = 124.737/127.102/136.609/2.394 ms
